date,team_1,team_2,_map,result_1,result_2,map_winner,
2017-11-30,pro100,EPG,Inferno,16,7,1,
2017-11-30,eL'quvet,Spirit,Mirage,11,16,2,
2017-11-30,GoodJob,EnVyUs Academy,Inferno,10,16,2,
2017-11-30,Valiance,EnVyUs Academy,Nuke,16,4,1,
2017-11-30,AGO,EnVyUs Academy,Cobblestone,16,11,1,
2017-11-30,SJ,Red Reserve,Cache,16,8,1,
2017-11-30,SJ,Red Reserve,Mirage,16,7,1,
2017-11-30,eL'quvet,Spirit,Cobblestone,16,8,1,
2017-11-30,eL'quvet,Spirit,Overpass,10,16,2,
2017-11-30,Valiance,GoodJob,Inferno,19,16,1,
2017-11-30,Seed,EPG,Cobblestone,16,11,1,
2017-11-29,Eclipse,5POWER,Inferno,16,8,1,
2017-11-29,Spirit Academy,Bpro,Inferno,7,16,2,
2017-11-29,SEAL,TOXIC,Train,14,16,2,
2017-11-29,PRIDE,Nemiga,Mirage,12,16,2,
2017-11-29,Valiance,North Academy,Nuke,16,10,1,
2017-11-29,EHOME,BOOT-d[S],Train,11,16,2,
2017-11-29,Telecon.Jundiaí,Isurus,Inferno,8,16,2,
2017-11-29,Ground Zero,Masterminds,Cache,19,17,1,
2017-11-29,Ground Zero,Masterminds,Mirage,16,6,1,
2017-11-29,Mineski,Signature,Inferno,6,16,2,
2017-11-29,Telecon.Jundiaí,Isurus,Overpass,8,16,2,
2017-11-29,Kinguin,GoodJob,Mirage,16,9,1,
2017-11-29,Epsilon,Tricked,Overpass,16,12,1,
2017-11-29,HAVU,Spirit,Nuke,11,16,2,
2017-11-29,HEXAGONE,Sharks,Inferno,16,12,1,
2017-11-29,exceL,EPG,Mirage,12,16,2,
2017-11-29,HEXAGONE,Sharks,Train,11,16,2,
2017-11-29,Fragsters,AGO,Inferno,14,16,2,
2017-11-29,HEXAGONE,Sharks,Cache,16,14,1,
2017-11-29,GoodJob,Epsilon,Cache,16,14,1,
2017-11-29,Seed,pro100,Inferno,11,16,2,
2017-11-29,Spirit Academy,Nexus,Mirage,6,16,2,
2017-11-29,exceL,EPG,Cache,2,16,2,
2017-11-29,WASD,Pompa,Train,6,16,2,
2017-11-29,WASD,Pompa,Mirage,3,16,2,
2017-11-29,Epsilon,HAVU,Mirage,19,15,1,
2017-11-29,GoodJob,Orion,Cache,16,8,1,
2017-11-29,Fragsters,AGO,Train,16,19,2,
2017-11-28,Ground Zero,Corvidae,Inferno,16,9,1,
2017-11-28,ViCi,Mineski,Mirage,6,16,2,
2017-11-28,Masterminds,Riotous,Cache,6,16,2,
2017-11-28,Masterminds,Riotous,Inferno,19,16,1,
2017-11-28,Ground Zero,Corvidae,Train,5,16,2,
2017-11-28,TheMongolz,Mineski,Mirage,13,16,2,
2017-11-28,Ground Zero,Corvidae,Overpass,16,6,1,
2017-11-28,ViCi,5POWER,Inferno,16,6,1,
2017-11-28,Rise Nation,Gale Force,Overpass,7,16,2,
2017-11-28,Rise Nation,Gale Force,Mirage,16,14,1,
2017-11-28,Rise Nation,Gale Force,Cobblestone,16,10,1,
2017-11-28,TYLOO,Signature,Mirage,19,21,2,
2017-11-28,Masterminds,Riotous,Cobblestone,16,13,1,
2017-11-28,TYLOO,TheMongolz,Cache,16,6,1,
2017-11-28,Seed,Spirit Academy,Train,16,10,1,
2017-11-28,GameAgents,ALTERNATE aTTaX,Nuke,6,16,2,
2017-11-28,SEAL,PRIDE,Nuke,16,9,1,
2017-11-28,SEAL,PRIDE,Train,13,16,2,
2017-11-28,SEAL,PRIDE,Cache,17,19,2,
2017-11-28,ALTERNATE aTTaX,EnVyUs Academy,Inferno,19,16,1,
2017-11-28,ALTERNATE aTTaX,EnVyUs Academy,Mirage,16,5,1,
2017-11-28,Nexus,GameAgents,Cache,16,9,1,
2017-11-28,Spirit Academy,EPG,Inferno,0,16,2,
2017-11-28,Bpro,EPG,Train,16,7,1,
2017-11-28,Spirit,Tricked,Mirage,14,16,2,
2017-11-28,GameAgents,ALTERNATE aTTaX,Mirage,8,16,2,
2017-11-27,Spirit,Epsilon,Overpass,6,16,2,
2017-11-27,SoaR,FRENCH CANADIANS,Nuke,16,8,1,
2017-11-27,SoaR,FRENCH CANADIANS,Inferno,16,9,1,
2017-11-27,Spirit Academy,EnVyUs Academy,Inferno,16,6,1,
2017-11-27,Nexus,Orion,Cobblestone,16,13,1,
2017-11-27,Nexus,Orion,Cache,16,8,1,
2017-11-27,Spirit,GoodJob,Mirage,14,16,2,
2017-11-27,HAVU,GoodJob,Mirage,8,16,2,
2017-11-26,HellRaisers,AVANGAR,Train,16,9,1,
2017-11-26,HellRaisers,AVANGAR,Overpass,16,13,1,
2017-11-26,Space Soldiers,GODSENT,Inferno,8,16,2,
2017-11-26,Space Soldiers,GODSENT,Mirage,6,16,2,
2017-11-26,Space Soldiers,GODSENT,Cache,16,12,1,
2017-11-26,Kinguin,GoodJob,Mirage,19,16,1,
2017-11-26,Kinguin,GoodJob,Cache,19,16,1,
2017-11-26,Ukraine,fnatic,Mirage,16,13,1,
2017-11-26,Ukraine,fnatic,Overpass,16,13,1,
2017-11-26,Space Soldiers,fnatic,Inferno,16,14,1,
2017-11-26,Space Soldiers,fnatic,Cobblestone,10,16,2,
2017-11-26,HellRaisers,Kinguin,Cache,16,9,1,
2017-11-26,HellRaisers,Kinguin,Cobblestone,6,16,2,
2017-11-26,HellRaisers,Kinguin,Inferno,16,5,1,
2017-11-26,BX3,Epsilon,Mirage,13,16,2,
2017-11-26,GODSENT,Ukraine,Inferno,11,16,2,
2017-11-26,GODSENT,Ukraine,Overpass,12,16,2,
2017-11-26,GODSENT,Ukraine,Mirage,16,10,1,
2017-11-26,Space Soldiers,fnatic,Mirage,16,6,1,
2017-11-25,KlikTech,Squared,Cache,5,16,2,
2017-11-25,WASD,Eclipse,Inferno,16,13,1,
2017-11-25,KlikTech,Squared,Inferno,14,16,2,
2017-11-25,Astralis,North,Overpass,15,15,2,
2017-11-25,NiP,SK,Train,4,16,2,
2017-11-25,G2,FaZe,Mirage,8,16,2,
2017-11-25,HellRaisers,GoodJob,Cobblestone,16,8,1,
2017-11-25,Astralis,NiP,Overpass,16,5,1,
2017-11-25,Kinguin,Tricked,Cobblestone,16,8,1,
2017-11-25,passions,AVANGAR,Cache,7,16,2,
2017-11-25,Ukraine,BIG,Overpass,16,10,1,
2017-11-25,Ukraine,BIG,Cobblestone,16,14,1,
2017-11-25,SK,G2,Cobblestone,16,8,1,
2017-11-25,North,G2,Mirage,15,15,2,
2017-11-25,FaZe,NiP,Train,15,15,2,
2017-11-25,Astralis,SK,Inferno,16,3,1,
2017-11-25,GoodJob,Eclipse,Inferno,16,9,1,
2017-11-25,WASD,HellRaisers,Cobblestone,5,16,2,
2017-11-25,NiP,North,Train,16,2,1,
2017-11-25,passions,Tricked,Cobblestone,16,8,1,
2017-11-25,FaZe,North,Train,13,16,2,
2017-11-25,Astralis,G2,Overpass,16,4,1,
2017-11-25,Envy,Space Soldiers,Cache,8,16,2,
2017-11-25,SK,FaZe,Mirage,8,16,2,
2017-11-25,Astralis,SK,Inferno,8,16,2,
2017-11-25,Astralis,SK,Cache,16,19,2,
2017-11-25,AGO,fnatic,Train,4,16,2,
2017-11-25,AGO,fnatic,Mirage,15,19,2,
2017-11-25,passions,AVANGAR,Mirage,15,19,2,
2017-11-25,KlikTech,Zonic,Mirage,16,11,1,
2017-11-25,Squared,Valiance,Inferno,8,16,2,
2017-11-25,Squared,Valiance,Train,10,16,2,
2017-11-25,KlikTech,Zonic,Cache,16,10,1,
2017-11-25,Astralis,SK,Mirage,16,11,1,
2017-11-25,G2,NiP,Cobblestone,16,7,1,
2017-11-25,Envy,Space Soldiers,Inferno,9,16,2,
2017-11-25,Valiance,Zonic,Cache,16,10,1,
2017-11-25,Valiance,Zonic,Inferno,16,6,1,
2017-11-25,AVANGAR,Kinguin,Cache,4,16,2,
2017-11-25,North,SK,Mirage,12,16,2,
2017-11-25,Astralis,FaZe,Inferno,16,14,1,
2017-11-25,WASD,GoodJob,Inferno,9,16,2,
2017-11-24,Singularity,Vexed,Mirage,12,16,2,
2017-11-24,Renegades,Luminosity,Train,16,10,1,
2017-11-24,Luminosity,Renegades,Cache,16,14,1,
2017-11-24,Isurus,Brasil Gaming House,Inferno,16,10,1,
2017-11-24,Isurus,Brasil Gaming House,Overpass,16,14,1,
2017-11-24,Envy,GameAgents,Inferno,16,7,1,
2017-11-24,Envy,Virtus.pro,Train,15,15,2,
2017-11-24,Virtus.pro,GameAgents,Inferno,15,15,2,
2017-11-24,AGO,Limitless,Mirage,16,8,1,
2017-11-24,fnatic,RESISTANCE,Inferno,16,11,1,
2017-11-24,Fragsters,Limitless,Cache,6,16,2,
2017-11-24,Fragsters,fnatic,Mirage,6,16,2,
2017-11-24,Limitless,RESISTANCE,Cache,16,10,1,
2017-11-24,AGO,RESISTANCE,Mirage,16,6,1,
2017-11-24,fnatic,Limitless,Cache,12,16,2,
2017-11-24,Fragsters,RESISTANCE,Inferno,15,15,2,
2017-11-24,AGO,fnatic,Train,16,8,1,
2017-11-24,AGO,Fragsters,Cache,16,10,1,
2017-11-23,GODSENT,Endpoint,Overpass,16,14,1,
2017-11-23,Quantum Bellator Fire,Nemiga,Nuke,12,16,2,
2017-11-23,Ukraine,Endpoint,Nuke,16,5,1,
2017-11-23,GODSENT,North Academy,Train,16,4,1,
2017-11-23,GODSENT,Ukraine,Train,16,10,1,
2017-11-23,North Academy,Endpoint,Overpass,4,16,2,
2017-11-23,Athletico,Chiefs,Mirage,14,16,2,
2017-11-23,Athletico,Chiefs,Nuke,3,16,2,
2017-11-23,Hafnet,OverSports,Cache,16,13,1,
2017-11-23,Ukraine,North Academy,Overpass,16,8,1,
2017-11-23,Ghost,Liquid,Mirage,6,16,2,
2017-11-23,Liquid,Ghost,Cobblestone,16,9,1,
2017-11-23,FaZe,Virtus.pro,Train,16,8,1,
2017-11-23,Hafnet,OverSports,Mirage,16,3,1,
2017-11-23,Liquid,Cloud9,Cache,11,16,2,
2017-11-23,Cloud9,Liquid,Mirage,19,15,1,
2017-11-23,Envy,Heroic,Nuke,9,16,2,
2017-11-23,BIG,Nemiga,Cobblestone,16,6,1,
2017-11-23,Space Soldiers,Nemiga,Overpass,16,6,1,
2017-11-23,GODSENT,G2,Overpass,3,16,2,
2017-11-23,BIG,Space Soldiers,Cache,12,16,2,
2017-11-23,BIG,Quantum Bellator Fire,Cobblestone,16,7,1,
2017-11-23,mousesports,Envy,Cobblestone,16,1,1,
2017-11-23,Nexus,PUR$i$EURA,Mirage,16,3,1,
2017-11-23,Nexus,PUR$i$EURA,Overpass,16,11,1,
2017-11-23,Heroic,Envy,Inferno,16,11,1,
2017-11-23,Envy,mousesports,Nuke,11,16,2,
2017-11-23,Virtus.pro,FaZe,Cobblestone,16,7,1,
2017-11-23,Spirit Academy,SEAL,Inferno,11,16,2,
2017-11-23,Movistar Riders,Orion,Train,10,16,2,
2017-11-23,Quantum Bellator Fire,Space Soldiers,Inferno,16,7,1,
2017-11-23,G2,GODSENT,Cache,11,16,2,
2017-11-23,Spirit Academy,SEAL,Cobblestone,9,16,2,
2017-11-23,Movistar Riders,Orion,Cache,4,16,2,
2017-11-23,Movistar Riders,Orion,Mirage,16,12,1,
2017-11-22,AGO,Vega Squadron,Train,12,16,2,
2017-11-22,Tainted Minds,Athletico,Nuke,22,25,2,
2017-11-22,Kings,Chiefs,Nuke,16,19,2,
2017-11-22,Kings,Chiefs,Inferno,16,9,1,
2017-11-22,Kings,Chiefs,Overpass,4,16,2,
2017-11-22,AGO,Vega Squadron,Cache,16,11,1,
2017-11-22,Vega Squadron,TYLOO,Inferno,25,22,1,
2017-11-22,AGO,Vega Squadron,Inferno,6,16,2,
2017-11-22,Tainted Minds,Athletico,Inferno,16,14,1,
2017-11-22,Vega Squadron,TYLOO,Mirage,25,21,1,
2017-11-22,Renegades,Cloud9,Cobblestone,12,16,2,
2017-11-22,NRG,Renegades,Overpass,16,7,1,
2017-11-22,Renegades,NRG,Mirage,10,16,2,
2017-11-22,Cloud9,Renegades,Train,12,16,2,
2017-11-22,EnVyUs Academy,VenatoreS,Cache,16,7,1,
2017-11-22,Tainted Minds,Athletico,Cobblestone,11,16,2,
2017-11-22,MANS NOT HOT,SEAL,Inferno,11,16,2,
2017-11-22,EnVyUs Academy,VenatoreS,Inferno,16,5,1,
2017-11-22,GODSENT,Astralis,Mirage,7,16,2,
2017-11-22,Astralis,GODSENT,Train,16,13,1,
2017-11-22,NiP,Astralis,Nuke,16,14,1,
2017-11-22,MANS NOT HOT,SEAL,Train,16,6,1,
2017-11-22,MANS NOT HOT,SEAL,Cache,8,16,2,
2017-11-22,Adaptation,Main Street,Nuke,22,19,1,
2017-11-22,Adaptation,Main Street,Mirage,19,17,1,
2017-11-22,Singularity,Kinguin,Cobblestone,16,13,1,
2017-11-22,Astralis,NiP,Train,14,16,2,
2017-11-22,Tricked,Valiance,Nuke,7,16,2,
2017-11-22,BX3,Gatekeepers,Mirage,16,11,1,
2017-11-21,TYLOO,AGO,Overpass,5,16,2,
2017-11-21,Chiefs,Legacy,Mirage,16,13,1,
2017-11-21,Chiefs,Legacy,Train,13,16,2,
2017-11-21,Chiefs,Legacy,Cobblestone,16,14,1,
2017-11-21,Tainted Minds,Corvidae,Cache,16,3,1,
2017-11-21,Tainted Minds,Corvidae,Mirage,19,16,1,
2017-11-21,TYLOO,AGO,Mirage,5,16,2,
2017-11-21,Kings,Dark Sided,Nuke,19,15,1,
2017-11-21,LFAO,Gale Force,Cobblestone,9,16,2,
2017-11-21,LFAO,Gale Force,Overpass,5,16,2,
2017-11-21,Samurai,FRENCH CANADIANS,Cache,6,16,2,
2017-11-21,Samurai,FRENCH CANADIANS,Inferno,5,16,2,
2017-11-21,SoaR,Rise Nation,Mirage,11,16,2,
2017-11-21,SoaR,Rise Nation,Inferno,13,16,2,
2017-11-21,Kings,Dark Sided,Mirage,16,10,1,
2017-11-21,Adaptation,Vulture,Overpass,6,16,2,
2017-11-21,Grayhound,Athletico,Cache,6,16,2,
2017-11-21,Adaptation,Vulture,Nuke,16,13,1,
2017-11-21,Grayhound,Athletico,Cobblestone,13,16,2,
2017-11-21,fnatic,Virtus.pro,Mirage,16,4,1,
2017-11-21,Epsilon,eXtatus,Mirage,5,16,2,
2017-11-21,Virtus.pro,fnatic,Cache,14,16,2,
2017-11-21,Adaptation,Vulture,Cache,16,12,1,
2017-11-21,Virtus.pro,NiP,Cobblestone,17,19,2,
2017-11-21,Singularity,EnVyUs Academy,Inferno,13,16,2,
2017-11-21,Singularity,EnVyUs Academy,Cache,11,16,2,
2017-11-21,NiP,Virtus.pro,Cache,16,9,1,
2017-11-21,Main Street,BBSP,Cobblestone,16,14,1,
2017-11-21,Main Street,BBSP,Nuke,16,10,1,
2017-11-21,EnVyUs Academy,Tricked,Cobblestone,16,8,1,
2017-11-20,Nexus,x6tence,Cache,14,16,2,
2017-11-20,Vega Squadron,Flash,Mirage,16,3,1,
2017-11-20,Vega Squadron,Flash,Cache,16,3,1,
2017-11-20,Spirit Academy,EPG,Inferno,7,16,2,
2017-11-20,Spirit Academy,EPG,Cache,6,16,2,
2017-11-20,Spirit Academy,EPG,Train,16,9,1,
2017-11-20,GameAgents,Windigo,Cache,16,10,1,
2017-11-20,GameAgents,Windigo,Train,16,7,1,
2017-11-20,GameAgents,Windigo,Inferno,3,16,2,
2017-11-20,Nexus,x6tence,Overpass,16,9,1,
2017-11-20,Nexus,x6tence,Inferno,16,8,1,
2017-11-20,PRIDE,HAVU,Cache,11,16,2,
2017-11-20,PRIDE,HAVU,Overpass,16,12,1,
2017-11-20,Windigo,Nexus,Cobblestone,14,16,2,
2017-11-20,GoodJob,Spirit Academy,Mirage,12,16,2,
2017-11-20,Orion,Conquer,Overpass,16,10,1,
2017-11-20,Orion,Conquer,Cache,16,6,1,
2017-11-20,Orion,Conquer,Inferno,9,16,2,
2017-11-20,North Academy,PRIDE,Nuke,10,16,2,
2017-11-20,North Academy,PRIDE,Train,10,16,2,
2017-11-20,PRIDE,HAVU,Train,10,16,2,
2017-11-19,HAVU,hASSeLsNOk,Mirage,16,7,1,
2017-11-19,Flash,AGO,Train,2,16,2,
2017-11-19,LPSP,Red Reserve,Inferno,16,10,1,
2017-11-19,LPSP,Red Reserve,Cache,16,10,1,
2017-11-19,Tricked,pro100,Inferno,8,16,2,
2017-11-19,Flash,AGO,Mirage,7,16,2,
2017-11-19,Chiefs,ViCi,Train,14,16,2,
2017-11-19,TYLOO,Vega Squadron,Cache,19,15,1,
2017-11-19,TYLOO,Vega Squadron,Train,16,5,1,
2017-11-19,Chiefs,ViCi,Overpass,16,4,1,
2017-11-19,Chiefs,ViCi,Cobblestone,14,16,2,
2017-11-19,FaZe,Cloud9,Train,16,8,1,
2017-11-19,FaZe,Cloud9,Overpass,16,6,1,
2017-11-19,LPSP,Red Reserve,Mirage,11,16,2,
2017-11-19,Vault,Elite Wolves,Overpass,16,3,1,
2017-11-19,aAa,LPSP,Mirage,5,16,2,
2017-11-19,Vault,Hafnet,Cache,17,19,2,
2017-11-19,NiP,FaZe,Cobblestone,16,10,1,
2017-11-19,NiP,FaZe,Inferno,7,16,2,
2017-11-19,NiP,FaZe,Train,16,10,1,
2017-11-19,aAa,LPSP,Nuke,13,16,2,
2017-11-19,NiP,FaZe,Cache,16,10,1,
2017-11-19,NiP,FaZe,Overpass,6,16,2,
2017-11-19,Vault,Hafnet,Cobblestone,16,5,1,
2017-11-19,Vault,Hafnet,Train,16,4,1,
2017-11-19,Singularity,SJ,Mirage,6,16,2,
2017-11-19,Singularity,SJ,Cache,19,16,1,
2017-11-19,Singularity,SJ,Train,18,22,2,
2017-11-19,Vault,Elite Wolves,Inferno,16,11,1,
2017-11-18,Tainted Minds,Kings,Train,16,13,1,
2017-11-18,Tainted Minds,Kings,Mirage,16,11,1,
2017-11-18,Grayhound,Tainted Minds,Overpass,10,16,2,
2017-11-18,Grayhound,Tainted Minds,Inferno,12,16,2,
2017-11-18,Grayhound,Tainted Minds,Cache,16,9,1,
2017-11-18,Tainted Minds,Grayhound,Overpass,8,16,2,
2017-11-18,Tainted Minds,Grayhound,Inferno,11,16,2,
2017-11-18,Tainted Minds,Grayhound,Nuke,16,11,1,
2017-11-18,Infused,Reason,Train,6,16,2,
2017-11-18,Hafnet,Elite Wolves,Inferno,16,6,1,
2017-11-18,exceL,Method,Mirage,14,16,2,
2017-11-18,Epsilon,EnVyUs Academy,Train,2,16,2,
2017-11-18,SK,NiP,Inferno,11,16,2,
2017-11-18,SK,NiP,Cache,16,8,1,
2017-11-18,SK,NiP,Overpass,9,16,2,
2017-11-18,Endpoint,Prophecy,Overpass,13,16,2,
2017-11-17,Chiefs,Ardeont Academy,Overpass,7,16,2,
2017-11-17,FRENCH CANADIANS,ex-Naventic,Cache,16,8,1,
2017-11-17,FRENCH CANADIANS,ex-Naventic,Train,19,16,1,
2017-11-17,Hyper,Gorilla Core,Inferno,16,14,1,
2017-11-17,Hyper,Gorilla Core,Mirage,9,16,2,
2017-11-17,Hyper,Gorilla Core,Nuke,16,6,1,
2017-11-17,Chiefs,Ardeont Academy,Inferno,16,11,1,
2017-11-17,GX,Ghost Academy,Cache,16,2,1,
2017-11-17,Chiefs,Ardeont Academy,Nuke,16,6,1,
2017-11-17,GX,Ghost Academy,Mirage,14,16,2,
2017-11-17,GX,Ghost Academy,Train,16,11,1,
2017-11-17,Kings,Tainted Minds,Mirage,16,13,1,
2017-11-17,Kings,Tainted Minds,Inferno,8,16,2,
2017-11-17,MVP PK,Grayhound,Cache,5,16,2,
2017-11-17,FRENCH CANADIANS,ex-Naventic,Cobblestone,17,19,2,
2017-11-17,Kings,Tainted Minds,Overpass,15,19,2,
2017-11-17,MVP PK,Grayhound,Cobblestone,6,16,2,
2017-11-17,Nexus,Next Generation,Inferno,16,5,1,
2017-11-17,ViCi,Kinguin,Mirage,16,9,1,
2017-11-17,EnVyUs Academy,EPG,Nuke,16,5,1,
2017-11-17,EPG,Spirit,Nuke,16,11,1,
2017-11-17,Singularity,EPG,Cache,10,16,2,
2017-11-17,Spirit,EPG,Mirage,16,9,1,
2017-11-17,Nexus,Next Generation,Cobblestone,16,13,1,
2017-11-17,EnVyUs Academy,Spirit,Inferno,16,3,1,
2017-11-17,Singularity,EnVyUs Academy,Cobblestone,16,19,2,
2017-11-17,Kings,MVP PK,Inferno,16,3,1,
2017-11-17,Tainted Minds,Grayhound,Cache,13,16,2,
2017-11-17,Tainted Minds,Grayhound,Inferno,16,13,1,
2017-11-17,Tainted Minds,Grayhound,Overpass,14,16,2,
2017-11-17,ViCi,Kinguin,Train,16,7,1,
2017-11-17,Kings,MVP PK,Mirage,16,12,1,
2017-11-16,Ground Zero,Masterminds,Mirage,16,10,1,
2017-11-16,Dark Sided,Noxide,Inferno,16,10,1,
2017-11-16,seadoggs,Corvidae,Cobblestone,8,16,2,
2017-11-16,Ground Zero,Masterminds,Cache,9,16,2,
2017-11-16,VenatoreS,Windigo,Train,11,16,2,
2017-11-16,Seed,LDLC,Mirage,16,7,1,
2017-11-16,Seed,LDLC,Inferno,16,14,1,
2017-11-16,EnVyUs Academy,GoodJob,Cobblestone,16,10,1,
2017-11-16,GX,Rise Nation,Nuke,6,16,2,
2017-11-16,GX,Rise Nation,Mirage,8,16,2,
2017-11-16,OpTic,Liquid,Mirage,16,10,1,
2017-11-16,G2,OpTic,Overpass,14,16,2,
2017-11-16,Renegades,Gambit,Inferno,9,16,2,
2017-11-16,SoaR,Ghost Academy,Cache,19,16,1,
2017-11-16,SoaR,Ghost Academy,Nuke,16,4,1,
2017-11-16,Liquid,FaZe,Inferno,5,16,2,
2017-11-16,G2,Liquid,Cache,16,9,1,
2017-11-16,OpTic,Renegades,Mirage,6,16,2,
2017-11-16,VenatoreS,Nexus,Mirage,14,16,2,
2017-11-16,FaZe,Gambit,Mirage,3,16,2,
2017-11-16,Nexus,WASD,Overpass,13,16,2,
2017-11-16,Ground Zero,Masterminds,Cobblestone,14,16,2,
2017-11-16,Acapella,HAVU,Mirage,13,16,2,
2017-11-16,TEAM5,PRIDE,Train,15,19,2,
2017-11-16,Virtus.pro,Space Soldiers,Mirage,13,16,2,
2017-11-16,Cloud9,Gambit,Overpass,16,19,2,
2017-11-16,Cloud9,Gambit,Cobblestone,16,11,1,
2017-11-16,Cloud9,Gambit,Mirage,16,11,1,
2017-11-16,PACT,Conquer,Cache,16,14,1,
2017-11-16,PACT,Conquer,Mirage,8,16,2,
2017-11-16,Nice,Orion,Cobblestone,16,14,1,
2017-11-16,Nice,Orion,Mirage,10,16,2,
2017-11-16,Nice,Orion,Cache,8,16,2,
2017-11-16,TEAM5,PRIDE,Mirage,17,19,2,
2017-11-16,PACT,Conquer,Inferno,2,16,2,
2017-11-16,Windigo,WASD,Train,16,6,1,
2017-11-16,SK,OpTic,Overpass,16,2,1,
2017-11-16,Virtus.pro,Space Soldiers,Cache,4,16,2,
2017-11-16,Bpro,x6tence,Inferno,13,16,2,
2017-11-16,Nexus,WASD,Nuke,4,16,2,
2017-11-16,SK,OpTic,Inferno,16,12,1,
2017-11-16,Windigo,WASD,Overpass,16,9,1,
2017-11-16,Bpro,x6tence,Cobblestone,6,16,2,
2017-11-16,ALTERNATE aTTaX,GameAgents,Cobblestone,19,16,1,
2017-11-15,Rise Nation,Mythic,Inferno,16,11,1,
2017-11-15,Riotous,Grayhound,Inferno,0,16,2,
2017-11-15,Gale Force,GX,Inferno,13,16,2,
2017-11-15,Gale Force,GX,Cache,16,7,1,
2017-11-15,Gale Force,GX,Mirage,10,16,2,
2017-11-15,G2,Gambit,Overpass,22,19,1,
2017-11-15,Grayhound,SYF,Cache,16,2,1,
2017-11-15,Conspiracy,Tainted Minds,Overpass,11,16,2,
2017-11-15,Athletico,Kings,Mirage,7,16,2,
2017-11-15,Noxide,Conspiracy,Mirage,12,16,2,
2017-11-15,Athletico,seadoggs,Cobblestone,16,3,1,
2017-11-15,Riotous,SYF,Inferno,11,16,2,
2017-11-15,Grayhound,Masterminds,Mirage,16,10,1,
2017-11-15,SIN,seadoggs,Inferno,16,7,1,
2017-11-15,FaZe,Renegades,Train,16,13,1,
2017-11-15,AEON,Evilvice,Mirage,16,13,1,
2017-11-15,Rise Nation,Mythic,Cobblestone,16,6,1,
2017-11-15,Liquid,Gambit,Mirage,19,16,1,
2017-11-15,G2,Renegades,Cobblestone,9,16,2,
2017-11-15,Ghost Academy,FRENCH CANADIANS,Cache,16,6,1,
2017-11-15,Ghost Academy,FRENCH CANADIANS,Nuke,8,16,2,
2017-11-15,Ghost Academy,FRENCH CANADIANS,Mirage,16,13,1,
2017-11-15,SoaR,Beacon,Cache,16,7,1,
2017-11-15,SoaR,Beacon,Inferno,16,3,1,
2017-11-15,Liquid,Renegades,Cache,19,17,1,
2017-11-15,OpTic,FaZe,Overpass,3,16,2,
2017-11-15,AEON,Evilvice,Overpass,16,13,1,
2017-11-15,OpTic,Gambit,Train,16,7,1,
2017-11-15,Envy,Astralis,Inferno,11,16,2,
2017-11-15,SK,TheMongolz,Mirage,16,6,1,
2017-11-15,HAVU,EnVyUs Academy,Inferno,16,14,1,
2017-11-15,forZe,GoodJob,Inferno,6,16,2,
2017-11-15,G2,FaZe,Overpass,14,16,2,
2017-11-15,GoodJob,Tricked,Cobblestone,16,19,2,
2017-11-15,Cloud9,SK,Train,16,7,1,
2017-11-15,Nexus,ZetMac,Cache,16,9,1,
2017-11-15,Nexus,ZetMac,Mirage,16,10,1,
2017-11-15,Envy,Cloud9,Cobblestone,16,8,1,
2017-11-15,eXtatus,Space Soldiers,Cobblestone,22,20,1,
2017-11-15,eXtatus,Space Soldiers,Mirage,16,6,1,
2017-11-15,TheMongolz,Astralis,Inferno,6,16,2,
2017-11-15,Envy,NiP,Nuke,11,16,2,
2017-11-15,NiP,TheMongolz,Train,16,5,1,
2017-11-15,Virtus.pro,AGO,Inferno,13,16,2,
2017-11-15,Virtus.pro,AGO,Mirage,16,13,1,
2017-11-15,North Academy,Red Reserve,Train,16,6,1,
2017-11-15,North Academy,Red Reserve,Inferno,19,16,1,
2017-11-15,North Academy,Red Reserve,Overpass,6,16,2,
2017-11-15,GameAgents,Nexus,Cache,16,8,1,
2017-11-15,Epsilon,Squared,Train,14,16,2,
2017-11-15,Virtus.pro,AGO,Train,2,16,2,
2017-11-15,SK,Astralis,Overpass,21,25,2,
2017-11-15,WASD,Movistar Riders,Train,16,10,1,
2017-11-15,Pompa,PUR$i$EURA,Cache,16,12,1,
2017-11-15,BIG,Natus Vincere,Overpass,15,19,2,
2017-11-15,BIG,Natus Vincere,Cobblestone,16,12,1,
2017-11-15,Virtus.pro,mousesports,Train,11,16,2,
2017-11-15,WASD,Movistar Riders,Overpass,16,4,1,
2017-11-15,WASD,Movistar Riders,Nuke,14,16,2,
2017-11-15,BIG,Natus Vincere,Train,16,13,1,
2017-11-15,HAVU,passions,Train,16,12,1,
2017-11-15,NiP,Cloud9,Overpass,16,4,1,
2017-11-15,mousesports,Virtus.pro,Cobblestone,16,5,1,
2017-11-15,HAVU,NYYRIKKI,Train,16,7,1,
2017-11-15,Pompa,PUR$i$EURA,Train,16,9,1,
2017-11-15,Pompa,PUR$i$EURA,Overpass,14,16,2,
2017-11-14,Valiance,ALTERNATE aTTaX,Inferno,16,3,1,
2017-11-14,EPG,GameAgents,Mirage,17,19,2,
2017-11-14,Nemiga,LDLC,Cobblestone,14,16,2,
2017-11-14,Nemiga,LDLC,Mirage,16,14,1,
2017-11-14,Nemiga,LDLC,Inferno,4,16,2,
2017-11-14,pro100,EPG,Cache,14,16,2,
2017-11-14,aAa,TTFU,Inferno,10,16,2,
